Namespace(batch_size=100, dataset='ogbn-mag', dgl_sparse=False, dropout=0.7, eval_batch_size=32, fanout='4, 4', gpu='0', l2norm=0, layer_norm=False, low_mem=False, lr=0.01, n_bases=2, n_epochs=2, n_hidden=16, n_layers=2, node_feats=False, num_workers=1, sparse_lr=0.02, use_self_loop=False, validation=False)
Number of relations: 8
Number of class: 349
Number of train: 629571
Number of valid: 64879
Number of test: 41939
0:author
1:field_of_study
2:institution
3:paper
start training...
Using backend: pytorch
Train Accuracy: 0.0100 | Train Loss: 5.8464
Train Accuracy: 0.0100 | Train Loss: 5.8400
Train Accuracy: 0.0400 | Train Loss: 5.8312
Train Accuracy: 0.0400 | Train Loss: 5.8269
Train Accuracy: 0.0500 | Train Loss: 5.8189
Train Accuracy: 0.0200 | Train Loss: 5.8164
Train Accuracy: 0.0300 | Train Loss: 5.7974
Train Accuracy: 0.0200 | Train Loss: 5.7926
Train Accuracy: 0.0400 | Train Loss: 5.7812
Train Accuracy: 0.0100 | Train Loss: 5.7687
Train Accuracy: 0.0300 | Train Loss: 5.7566
Train Accuracy: 0.0800 | Train Loss: 5.7562
Train Accuracy: 0.0500 | Train Loss: 5.7302
Train Accuracy: 0.0100 | Train Loss: 5.7549
Train Accuracy: 0.0400 | Train Loss: 5.7127
Train Accuracy: 0.0500 | Train Loss: 5.6849
Train Accuracy: 0.0200 | Train Loss: 5.7292
Train Accuracy: 0.0300 | Train Loss: 5.6587
Train Accuracy: 0.0700 | Train Loss: 5.6543
Train Accuracy: 0.0200 | Train Loss: 5.6316
Train Accuracy: 0.0300 | Train Loss: 5.6193
Train Accuracy: 0.0200 | Train Loss: 5.6024
Train Accuracy: 0.0200 | Train Loss: 5.6021
Train Accuracy: 0.0600 | Train Loss: 5.5364
Train Accuracy: 0.0300 | Train Loss: 5.5370
Train Accuracy: 0.0200 | Train Loss: 5.5257
Train Accuracy: 0.0300 | Train Loss: 5.5059
Train Accuracy: 0.0400 | Train Loss: 5.5045
Train Accuracy: 0.0700 | Train Loss: 5.3406
Train Accuracy: 0.0400 | Train Loss: 5.2743
Train Accuracy: 0.0200 | Train Loss: 5.3986
Train Accuracy: 0.0300 | Train Loss: 5.4019
Train Accuracy: 0.0400 | Train Loss: 5.2117
Train Accuracy: 0.0500 | Train Loss: 5.2354
Train Accuracy: 0.0300 | Train Loss: 5.1297
Train Accuracy: 0.0600 | Train Loss: 5.1518
Train Accuracy: 0.0400 | Train Loss: 5.3708
Train Accuracy: 0.0500 | Train Loss: 5.1848
Train Accuracy: 0.0600 | Train Loss: 4.9276
Train Accuracy: 0.0300 | Train Loss: 5.2426
Train Accuracy: 0.0300 | Train Loss: 5.1446
Train Accuracy: 0.0300 | Train Loss: 5.2617
Train Accuracy: 0.0400 | Train Loss: 5.0571
Train Accuracy: 0.0400 | Train Loss: 5.3047
Train Accuracy: 0.0200 | Train Loss: 5.2318
Train Accuracy: 0.0600 | Train Loss: 4.9019
Train Accuracy: 0.0600 | Train Loss: 5.2531
Train Accuracy: 0.0500 | Train Loss: 5.3570
Train Accuracy: 0.0800 | Train Loss: 5.0022
Train Accuracy: 0.0500 | Train Loss: 5.1512
Train Accuracy: 0.0600 | Train Loss: 5.0545
Train Accuracy: 0.0700 | Train Loss: 5.2256
Train Accuracy: 0.0200 | Train Loss: 5.1251
Train Accuracy: 0.0600 | Train Loss: 5.0653
Train Accuracy: 0.0600 | Train Loss: 5.0876
Train Accuracy: 0.0600 | Train Loss: 5.0102
Train Accuracy: 0.0400 | Train Loss: 5.0348
Train Accuracy: 0.0500 | Train Loss: 4.9602
Train Accuracy: 0.0400 | Train Loss: 5.1694
Train Accuracy: 0.0200 | Train Loss: 5.2832
Train Accuracy: 0.0500 | Train Loss: 5.2337
Train Accuracy: 0.0200 | Train Loss: 5.0018
Train Accuracy: 0.0600 | Train Loss: 5.1560
Train Accuracy: 0.0100 | Train Loss: 5.1494
Train Accuracy: 0.0700 | Train Loss: 5.0932
Train Accuracy: 0.0100 | Train Loss: 5.1773
